time_utc,temp_c
2025-12-02T00:00,11.7
2025-12-02T01:00,11.7
2025-12-02T02:00,11.8
2025-12-02T03:00,13.1
2025-12-02T04:00,15.8
2025-12-02T05:00,18.7
2025-12-02T06:00,21.5
2025-12-02T07:00,22.8
2025-12-02T08:00,23.6
2025-12-02T09:00,23.8
2025-12-02T10:00,23.7
2025-12-02T11:00,22.7
2025-12-02T12:00,21.0
2025-12-02T13:00,19.1
2025-12-02T14:00,18.2
2025-12-02T15:00,17.3
2025-12-02T16:00,16.1
2025-12-02T17:00,14.9
2025-12-02T18:00,13.9
2025-12-02T19:00,13.0
2025-12-02T20:00,12.5
2025-12-02T21:00,11.9
2025-12-02T22:00,11.4
2025-12-02T23:00,10.8
